Date,IP address,User,Activity,Item,Detail,More
9/26/2017 23:19,218.250.152.212,urn:spo:anon#0c58d295d9275b1ce9d6cf6360aab1ce0e0a31a9b0837ce6eea6642194c91f1c,Downloaded file,virtual_platform.zip,"Downloaded from ""Documents""","Id:89bf9756-e2c2-4d64-755a-08d504f1efba;Object Id:https://astri-my.sharepoint.com/personal/knowledgebase_astri_org/Documents/virtual_platform.zip;Record Type:6;Source Relative Url:Documents;User Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36;"
9/26/2017 22:41,222.166.185.134,urn:spo:anon#0c58d295d9275b1ce9d6cf6360aab1ce0e0a31a9b0837ce6eea6642194c91f1c,Downloaded file,virtual_platform.zip,"Downloaded from ""Documents""","Id:6e9c2167-7d6f-4b33-0b2c-08d504ec9fe2;Object Id:https://astri-my.sharepoint.com/personal/knowledgebase_astri_org/Documents/virtual_platform.zip;Record Type:6;Source Relative Url:Documents;User Agent:Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36;"
9/26/2017 12:01,118.140.125.67,urn:spo:anon#0c58d295d9275b1ce9d6cf6360aab1ce0e0a31a9b0837ce6eea6642194c91f1c,Downloaded file,virtual_platform.zip,"Downloaded from ""Documents""","Id:72999661-8a39-4942-53d9-08d504934df9;Object Id:https://astri-my.sharepoint.com/personal/knowledgebase_astri_org/Documents/virtual_platform.zip;Record Type:6;Source Relative Url:Documents;User Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36;"
9/26/2017 9:57,175.159.121.32,urn:spo:anon#0c58d295d9275b1ce9d6cf6360aab1ce0e0a31a9b0837ce6eea6642194c91f1c,Downloaded file,virtual_platform.zip,"Downloaded from ""Documents""","Id:12eb7d0f-c75a-4c46-cb92-08d50481ec1f;Object Id:https://astri-my.sharepoint.com/personal/knowledgebase_astri_org/Documents/virtual_platform.zip;Record Type:6;Source Relative Url:Documents;User Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36;"
9/26/2017 9:55,175.159.123.28,urn:spo:anon#0c58d295d9275b1ce9d6cf6360aab1ce0e0a31a9b0837ce6eea6642194c91f1c,Downloaded file,virtual_platform.zip,"Downloaded from ""Documents""","Id:22f1fbd6-fd10-4252-7e13-08d504819ca6;Object Id:https://astri-my.sharepoint.com/personal/knowledgebase_astri_org/Documents/virtual_platform.zip;Record Type:6;Source Relative Url:Documents;User Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36;"
9/26/2017 9:52,175.159.124.30,urn:spo:anon#0c58d295d9275b1ce9d6cf6360aab1ce0e0a31a9b0837ce6eea6642194c91f1c,Downloaded file,virtual_platform.zip,"Downloaded from ""Documents""","Id:76f19bed-d13e-4cbb-826e-08d504813e35;Object Id:https://astri-my.sharepoint.com/personal/knowledgebase_astri_org/Documents/virtual_platform.zip;Record Type:6;Source Relative Url:Documents;User Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Safari/604.1.38;"
9/26/2017 9:49,175.159.201.81,urn:spo:anon#0c58d295d9275b1ce9d6cf6360aab1ce0e0a31a9b0837ce6eea6642194c91f1c,Downloaded file,virtual_platform.zip,"Downloaded from ""Documents""",Id:556297c5-49bf-442d-ebf0-08d50480e083;Object Id:https://astri-my.sharepoint.com/personal/knowledgebase_astri_org/Documents/virtual_platform.zip;Record Type:6;Source Relative Url:Documents;User Agent:Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko;
9/26/2017 1:20,183.179.21.77,urn:spo:anon#0c58d295d9275b1ce9d6cf6360aab1ce0e0a31a9b0837ce6eea6642194c91f1c,Downloaded file,virtual_platform.zip,"Downloaded from ""Documents""","Id:e9fb6606-1ec6-4dcc-b5c7-08d50439c1dc;Object Id:https://astri-my.sharepoint.com/personal/knowledgebase_astri_org/Documents/virtual_platform.zip;Record Type:6;Source Relative Url:Documents;User Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36;"
9/25/2017 19:47,61.10.170.144,urn:spo:anon#0c58d295d9275b1ce9d6cf6360aab1ce0e0a31a9b0837ce6eea6642194c91f1c,Downloaded file,virtual_platform.zip,"Downloaded from ""Documents""","Id:a4d0d4b5-8e7d-46f4-83e3-08d5040b307c;Object Id:https://astri-my.sharepoint.com/personal/knowledgebase_astri_org/Documents/virtual_platform.zip;Record Type:6;Source Relative Url:Documents;User Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36;"
9/25/2017 19:25,175.159.124.53,urn:spo:anon#0c58d295d9275b1ce9d6cf6360aab1ce0e0a31a9b0837ce6eea6642194c91f1c,Downloaded file,virtual_platform.zip,"Downloaded from ""Documents""","Id:7d45e7ff-022a-4377-a84c-08d504082383;Object Id:https://astri-my.sharepoint.com/personal/knowledgebase_astri_org/Documents/virtual_platform.zip;Record Type:6;Source Relative Url:Documents;User Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36;"
